Issuer/Borrower Name;"Nation
Region
Description";Matched Region
Coast To Coast Motors LLC;"Americas
North America";North America
China Oil & Gas Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Huayou (Hong Kong) Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Pelican Products Inc;"Americas
North America";North America
Kestra Financial Inc;"Americas
North America";North America
Metronet Holdings LLC;"Americas
North America";North America
Rokko Butter Co Ltd;Japan;Asia
Pollard Holdings LP;"Americas
North America";North America
All Hearts Co Inc;Japan;Asia
Foundation Bldg Materials LLC;"Americas
North America";North America
Pure Fishing Inc;"Americas
North America";North America
Reinalt-Thomas Corp;"Americas
North America";North America
Energizer Holdings Inc;"Americas
North America";North America
Creative Planning LLC;"Americas
North America";North America
TBD Office Portfolio;"Americas
North America";North America
Tinicum Voltage Intermediate;"Americas
North America";North America
Mariani;"Americas
North America";North America
Qps Hldg Inc;"Americas
North America";North America
Hawkins Press Investors JV LLC;"Americas
North America";North America
USHAN Brighton Property Owner;"Americas
North America";North America
NP Oakley Building V LLC;"Americas
North America";North America
First Street Owner LLC;"Americas
North America";North America
HON HQ Title Holder LLC;"Americas
North America";North America
LVA5 Redmond Grand LLC;"Americas
North America";North America
LM DV Infrastructure LLC;"Americas
North America";North America
Rodin Global Ppty Tr Inc;"Americas
North America";North America
Travel Nurse Across America;"Americas
North America";North America
Nouria Energy Corp;"Americas
North America";North America
Diesel Direct Holding Co;"Americas
North America";North America
Reich & Tang(New England);"Americas
North America";North America
Waterway Gas & Carwash;"Americas
North America";North America
Astoria Energy II LLC;"Americas
North America";North America
CQ Holding Co Inc;"Americas
North America";North America
ABTB Mid-Atlantic LLC;"Americas
North America";North America
Little World Beverages Inc;"Americas
North America";North America
557 Highland LLC;"Americas
North America";North America
QuantiTech LLC;"Americas
North America";North America
PSPIB South Bell II LLC;"Americas
North America";North America
Essex Portfolio LP;"Americas
North America";North America
Barudan Co Ltd;Japan;Asia
Portland Columbia Industrial;"Americas
North America";North America
SPH Group Holdings LLC;"Americas
North America";North America
Mega Broadband Invests Llc;"Americas
North America";North America
SIP Holdco LLC;"Americas
North America";North America
Oxford Fin Funding X Llc;"Americas
North America";North America
Accuride Corp;"Americas
North America";North America
Akita Prefecture;Japan;Asia
Superior Food Group Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Kyowa Manufacturing Co Ltd;Japan;Asia
DESRI Springbok 2 Financing;"Americas
North America";North America
Ubeo Llc;"Americas
North America";North America
CMOC Brasil Mineracao;"Americas
South America";Latin America
Snow Peak Inc;Japan;Asia
Chess.com LLC;"Americas
North America";North America
Hangzhou Runting Coml Re Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
