CUSTOMER_ID;CUSTOMER_DESCR;Country_Res_descr (4);Matched Region
24007949;Novo Nordisk A/S;Denmark;Western Europe
24007953;IC GROUP A/S;Denmark;Western Europe
24007955;NCR Corp;United States;North America
24007959;Dam Square B.V.;Netherlands;Western Europe
24007962;Bath & Body Works, Inc.;United States;North America
24007962;L Brands, Inc;United States;North America
24007974;Kohl's Corp;United States;North America
24007982;GOVERNMENT OF THE PEOPLE'S REPUBLIC OF CHINA;China;Asia
24007987;Club Mediterranee SA;France;Western Europe
24007993;BASF SE;Germany;Western Europe
24008001;Woningstichting Rochdale;Netherlands;Western Europe
24008012;Allianz Nederland Levensverzekering N.V.;Netherlands;Western Europe
24008019;PT Bank Negara Indonesia (Persero) Tbk, Singapore branch;Singapore;Asia
24008023;Petroleo Brasileiro SA Petrobras;Brazil;Latin America
24008035;Industriële Beleggings Maatschappij Bonda-Rotterdam B.V.;Netherlands;Western Europe
24008045;KeyBank NA;United States;North America
24008056;Afa Trygghetsforsakrings AB;Sweden;Western Europe
24008071;Comerica Inc;United States;North America
24008075;Dassault Systemes SE;France;Western Europe
24008079;Stichting Pensioenfonds ABP;Netherlands;Western Europe
24008080;Aegon N.V.;Netherlands;Western Europe
24008081;Aegon Levensverzekering N.V.;Netherlands;Western Europe
24008091;ASR Levensverzekering N.V.;Netherlands;Western Europe
24008093;ASR Schadeverzekering N.V.;Netherlands;Western Europe
24008095;Stichting Vervroegd Uittreden Metaal en Techniek;Netherlands;Western Europe
24008106;Achmea Pensioen- en Levensverzekeringen N.V.;Netherlands;Western Europe
24008107;Achmea Schadeverzekeringen N.V.;Netherlands;Western Europe
24008110;Delta Lloyd Levensverzekering N.V.;Netherlands;Western Europe
24008113;NN Group Bidco B.V.;Netherlands;Western Europe
24008117;Achmea B.V.;Netherlands;Western Europe
24008128;Goudse Schadeverzekeringen N.V.;Netherlands;Western Europe
24008146;Onderlinge Levensverzekering-Maatschappij ''s-Gravenhage' U.A.;Netherlands;Western Europe
24008154;Stichting Ahold Delhaize Pensioen;Netherlands;Western Europe
24008155;Stichting Pensioenfonds APF;Netherlands;Western Europe
24008157;Stichting Pensioenfonds Medewerkers Apotheken;Netherlands;Western Europe
24008158;Stichting Pensioenfonds voor de Architectenbureaus;Netherlands;Western Europe
24008164;Stichting Pensioenfonds Openbare Bibliotheken;Netherlands;Western Europe
24008168;Stichting Bedrijfstakpensioenfonds voor de Bouwnijverheid;Netherlands;Western Europe
24008171;Stichting Pensioenfonds Capgemini Nederland;Netherlands;Western Europe
24008178;Stichting Pensioenfonds Delta Lloyd;Netherlands;Western Europe
24008180;Stichting Pensioenfonds voor Dierenartsen;Netherlands;Western Europe
24008182;Stichting DOW Pensioenfonds;Netherlands;Western Europe
24008189;Stichting Pensioenfonds Forbo;Netherlands;Western Europe
24008190;Stichting Pensioenfonds voor Fysiotherapeuten;Netherlands;Western Europe
24008194;Stichting Bedrijfstakpensioenfonds voor Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees;Netherlands;Western Europe
24008202;Stichting Pensioenfonds voor de Woningcorporaties;Netherlands;Western Europe
24008203;Stichting Pensioenfonds Gasunie;Netherlands;Western Europe
24008205;Stichting Pensioenfonds Zorg en Welzijn;Netherlands;Western Europe
24008211;Stichting Bedrijfstakpensioenfonds voor het Schoonmaak- en Glazenwassersbedrijf;Netherlands;Western Europe
24008216;Stichting Pensioenfonds PGB;Netherlands;Western Europe
24008218;ASR Nederland N.V.;Netherlands;Western Europe
24008226;Stichting Heineken Pensioenfonds;Netherlands;Western Europe
24008235;Stichting Pensioenfonds Hoogovens;Netherlands;Western Europe
24008240;Stichting Pensioenfonds Huntsman Rozenburg;Netherlands;Western Europe
24008246;Achmea Zorgverzekeringen N.V.;Netherlands;Western Europe
24008255;Stichting Bedrijfspensioenfonds voor de Koopvaardij;Netherlands;Western Europe
24008257;Stichting Bedrijfstakpensioenfonds voor het Levensmiddelenbedrijf;Netherlands;Western Europe
24008258;Stichting BPL Pensioen;Netherlands;Western Europe
24008260;Stichting Pensioenfonds Metaal en Techniek;Netherlands;Western Europe
24008261;Stichting PME pensioenfonds;Netherlands;Western Europe
24008261;Stichting Pensioenfonds van de Metalektro (PME);Netherlands;Western Europe
24008262;Stichting Pensioenfonds Wonen;Netherlands;Western Europe
24008267;Stichting Pensioenfonds Rail & Openbaar Vervoer;Netherlands;Western Europe
24008271;Stichting Pensioenfonds PostNL;Netherlands;Western Europe
24008272;Stichting Rabobank Pensioenfonds;Netherlands;Western Europe
24008275;Stichting Bedrijfstakpensioenfonds voor het Schilders-, Afwerkings- en Glaszetbedrijf;Netherlands;Western Europe
24008277;Stichting Shell Pensioenfonds;Netherlands;Western Europe
24008283;Stichting Bedrijfstakpensioenfonds voor de Zoetwarenindustrie;Netherlands;Western Europe
24008284;Stichting Pensioenfonds Tandartsen en Tandarts-Specialisten;Netherlands;Western Europe
24008289;Stichting Pensioenfonds TNO;Netherlands;Western Europe
24008295;DSM Finance B.V.;Netherlands;Western Europe
24008304;Vodafone Libertel B.V.;Netherlands;Western Europe
24008318;Hydro Extrusion Hoogezand B.V.;Netherlands;Western Europe
24008331;The Bank of New York Mellon, Seoul branch;Korea, Republic of;Asia
24008340;Joint Stock Company First Ukrainian International Bank;Ukraine;Central and Eastern Europe
24008354;Uniper Benelux N.V.;Netherlands;Western Europe
24008355;EBN B.V.;Netherlands;Western Europe
24008362;Ballast Nedam N.V.;Netherlands;Western Europe
24008363;Het Agentschap van de Generale Thesaurie;Netherlands;Western Europe
24008366;Triodos Bank N.V.;Netherlands;Western Europe
24008374;Heineken International B.V.;Netherlands;Western Europe
24008376;AKZO Nobel N.V.;Netherlands;Western Europe
24008378;Draka Holding B.V.;Netherlands;Western Europe
24008380;BNP Paribas Factoring Support N.V.;Netherlands;Western Europe
24008384;ANWB B.V.;Netherlands;Western Europe
24008394;Koninklijke DSM N.V.;Netherlands;Western Europe
24008397;Rexel Holding Netherlands B.V.;Netherlands;Western Europe
24008406;Koninklijke Ahold Delhaize N.V.;Netherlands;Western Europe
24008407;ENGIE Energie Nederland N.V.;Netherlands;Western Europe
24008410;Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.;Netherlands;Western Europe
24008411;Nederlandse Waterschapsbank N.V.;Netherlands;Western Europe
24008412;N.V. Nederlandse Spoorwegen;Netherlands;Western Europe
24008417;N.V. Waterleiding Maatschappij Limburg;Netherlands;Western Europe
24008419;Macintosh Retail Group N.V.;Netherlands;Western Europe
24008422;Stichting Algemeen Pensioenfonds Unilever Nederland (Unilever APF);Netherlands;Western Europe
24008427;Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO;Netherlands;Western Europe
24008429;Koninklijke Philips NV;Netherlands;Western Europe
24008430;Koninklijke KPN N.V.;Netherlands;Western Europe
24008434;Rolinco N.V.;Netherlands;Western Europe
24008435;Robeco Global Total Return Bond Fund;Luxembourg;Western Europe
24008438;Hof Hoorneman N.V.;Netherlands;Western Europe
24008439;Vereniging Buma;Netherlands;Western Europe
24008440;Stichting Stemra;Netherlands;Western Europe
24008466;Scania Production Zwolle B.V.;Netherlands;Western Europe
24008473;ZF Friedrichshafen AG;Germany;Western Europe
24008476;Julius Baer Group Ltd;Switzerland;Western Europe
24008479;Anglo American PLC;United Kingdom;Western Europe
24008484;Colgate Palmolive Company;United States;North America
24008485;Paccar Inc;United States;North America
24008489;Arklow Shipping Unlimited Company;Ireland;Western Europe
24008496;Ingka Support and Services SA;Belgium;Western Europe
24008496;Ikea Service Centre SA;Belgium;Western Europe
24008498;D'Ieteren Group;Belgium;Western Europe
24008498;D Ieteren Group SA;Belgium;Western Europe
24008498;D'Ieteren SA;Belgium;Western Europe
24008500;ABN Amro Private Banking Belgium;Belgium;Western Europe
24008502;Bayerische Motoren Werke AG;Germany;Western Europe
24008505;Siemens Aktiengesellschaft;Germany;Western Europe
24008507;Volkswagen AG;Germany;Western Europe
24008513;3i Group plc;United Kingdom;Western Europe
24008516;Caledonia Investments PLC;United Kingdom;Western Europe
24008532;M & G Investment Management Ltd;United Kingdom;Western Europe
24008536;Schroder Investment Management Limited;United Kingdom;Western Europe
24008538;Pennon Group PLC;United Kingdom;Western Europe
24008539;Tate & Lyle PLC;United Kingdom;Western Europe
24008541;London Stock Exchange PLC;United Kingdom;Western Europe
24008546;Altria Group Inc;United States;North America
24008547;Astrazeneca AB;Sweden;Western Europe
24008549;McDonald's Corporation;United States;North America
24008555;Wereldhave N.V.;Netherlands;Western Europe
24008567;Koninklijke Vopak N.V.;Netherlands;Western Europe
24008570;Randstad Holding International B.V.;Netherlands;Western Europe
24008571;Royal Imtech N.V.;Netherlands;Western Europe
24008572;VolkerWessels Nederland B.V.;Netherlands;Western Europe
24008573;Coöperatieve Inkoopvereniging Superunie B.A.;Netherlands;Western Europe
24008574;Stationery Team Europe B.V.;Netherlands;Western Europe
24008575;N.V. Nederlandse Gasunie;Netherlands;Western Europe
24008580;Canon Production Printing Netherlands B.V.;Netherlands;Western Europe
24008581;Hewlett-Packard Nederland B.V.;Netherlands;Western Europe
24008588;Mediahuis NL B.V.;Netherlands;Western Europe
24008589;Wolters Kluwer N.V.;Netherlands;Western Europe
24008593;Sligro Food Group Nederland B.V.;Netherlands;Western Europe
24008596;Unilever N.V.;Netherlands;Western Europe
24008612;BPIFRANCE SA;France;Western Europe
24008612;BPIFRANCE FINANCEMENT;France;Western Europe
24008615;Santander UK PLC;United Kingdom;Western Europe
24008623;Morgan Stanley Investment Management Ltd;United Kingdom;Western Europe
24008624;Nomura International PLC;United Kingdom;Western Europe
24008632;Morgan Stanley Investment Management Co;Singapore;Asia
24008635;Goldman Sachs & Co. LLC;United States;North America
24008636;Citigroup Global Markets Inc;United States;North America
24008637;Morgan Stanley Capital Group Inc;United States;North America
24008639;Inter-American Development Bank;United States;North America
24008642;Achmea Bank N.V.;Netherlands;Western Europe
24008646;Ankerpoort NV;Netherlands;Western Europe
24008648;Koninklijke BAM Groep N.V.;Netherlands;Western Europe
24008665;Sweco Holdco BV;Netherlands;Western Europe
24008673;Koninklijke Ten Cate B.V.;Netherlands;Western Europe
24008691;Multilease B.V.;Netherlands;Western Europe
24008694;N.V. Eneco;Netherlands;Western Europe
24008694;N.V. Eneco Beheer;Netherlands;Western Europe
24008711;Stichting Ouderenhuisvesting Rotterdam;Netherlands;Western Europe
24008716;Perfetti Van Melle Benelux B.V.;Netherlands;Western Europe
24008720;Stichting De Alliantie;Netherlands;Western Europe
24008724;Koops Lease B.V.;Netherlands;Western Europe
24008726;Janssen De Jong Groep B.V.;Netherlands;Western Europe
24008731;Dienst voor het Kadaster en De Openbare Registers;Netherlands;Western Europe
24008739;Yettel Magyarország ZRT;Hungary;Central and Eastern Europe
24008739;Telenor Magyarorszag ZRT;Hungary;Central and Eastern Europe
24008889;Heineken Holding N.V.;Netherlands;Western Europe
24008897;INP Quality BV;Netherlands;Western Europe
24008927;Standard Chartered Bank, Makati City branch;Philippines;Asia
24008928;Gimv NV;Belgium;Western Europe
24008929;Inetum Realdolmen Belgium;Belgium;Western Europe
24008929;RealDolmen NV;Belgium;Western Europe
24008930;Recticel SA;Belgium;Western Europe
24008932;Solvay S.A.;Belgium;Western Europe
24008942;Nokia OYJ;Finland;Western Europe
24008943;Christian Dior SE;France;Western Europe
24008945;Brunel International N.V.;Netherlands;Western Europe
24008955;Helix Energy Solutions Group Inc;United States;North America
24008959;Central Garden & Pet Co;United States;North America
24008960;Ciena Corp;United States;North America
24008968;H. B. Fuller Co;United States;North America
24008975;Gold Fields Ltd;Australia;Australia
24008978;Jones Lang Lasalle Incorporated;United States;North America
24008994;Ralph Lauren Corporation;United States;North America
24009004;Unisys Corporation;United States;North America
24009004;Unisys Corp;United States;North America
24009012;Stora Enso OYJ;Finland;Western Europe
24009013;ITT Inc;United States;North America
24009017;thyssenkrupp AG;Germany;Western Europe
24009019;Alcatel Lucent SA;France;Western Europe
24009025;American Express Co;United States;North America
24009034;Randstad N.V.;Netherlands;Western Europe
24009035;Boron Securities NV;Curacao;Latin America
24009038;Robeco Sustainable Global Stars Equities Fund N.V.;Netherlands;Western Europe
24009041;BNG Bank N.V.;Netherlands;Western Europe
24009042;Royal Schiphol Group N.V.;Netherlands;Western Europe
